"Obsdate","Observer","Plot","Field_remarks","Section","SnowCoverFraction","General_remarks"
"2019/05/29","Lars Holst Hansen","Art3","No remarks","C",10,"No remarks"
"2019/05/29","Lars Holst Hansen","Art5","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art6","No remarks","C",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Art7","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas1","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas2","No remarks","C",95,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas3","No remarks","C",5,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas4","No remarks","C",98,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry1","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry2Sal7","No remarks","C",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry3","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry4","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry5","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry6Pap4","No remarks","C",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri1","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri2","No remarks","C",75,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri3","No remarks","C",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri4","No remarks","C",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap1","No remarks","C",98,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap2Sal5","No remarks","C",99,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap3","No remarks","C",45,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal1","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal2","No remarks","C",85,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal3","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal4","No remarks","C",60,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal6","No remarks","C",99,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax1Sil1","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax2Sil2","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax3Sil3","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sil4","No remarks","C",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Veg1","No remarks","C",-9999,"No remarks"
"2019/05/31","Lars Holst Hansen","Art1","No remarks","C",-9999,"No remarks"
"2019/05/31","Lars Holst Hansen","Art2","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas1","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas2","No remarks","C",10,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas4","No remarks","C",40,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry1","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry2Sal7","No remarks","C",100,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry4","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry5","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Eri1","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Eri3","No remarks","C",99,"No remarks"
"2019/05/31","Lars Holst Hansen","Pap1","No remarks","C",95,"No remarks"
"2019/05/31","Lars Holst Hansen","Pap3","No remarks","C",10,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal1","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal2","No remarks","C",70,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal3","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax1Sil1","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax2Sil2","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax3Sil3","No remarks","C",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Veg1","No remarks","C",-9999,"No remarks"
"2019/06/01","Lars Holst Hansen","Art3","No remarks","C",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Art5","No remarks","C",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Art6","No remarks","C",100,"No remarks"
"2019/06/01","Lars Holst Hansen","Art7","No remarks","C",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Cas3","No remarks","C",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Dry3","No remarks","C",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Dry6Pap4","No remarks","C",-9999,"No remarks"
"2019/06/01","Lars Holst Hansen","Eri2","No remarks","C",10,"No remarks"
"2019/06/01","Lars Holst Hansen","Eri4","No remarks","C",100,"No remarks"
"2019/06/01","Lars Holst Hansen","Pap2Sal5","No remarks","C",95,"No remarks"
"2019/06/01","Lars Holst Hansen","Sal4","No remarks","C",25,"No remarks"
"2019/06/01","Lars Holst Hansen","Sal6","No remarks","C",95,"No remarks"
"2019/06/01","Lars Holst Hansen","Sil4","No remarks","C",98,"No remarks"
"2019/06/03","Lars Holst Hansen","Art3","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Art5","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Art6","No remarks","C",98,"No remarks"
"2019/06/03","Lars Holst Hansen","Art7","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas1","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas2","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas3","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas4","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry1","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry2Sal7","No remarks","C",95,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry3","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry4","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry5","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry6Pap4","No remarks","C",98,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri1","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri2","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri3","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri4","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap1","No remarks","C",20,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap2Sal5","No remarks","C",50,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap3","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal1","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal2","No remarks","C",2,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal3","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal4","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal6","No remarks","C",40,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax1Sil1","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax2Sil2","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax3Sil3","No remarks","C",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sil4","No remarks","C",10,"No remarks"
"2019/06/03","Lars Holst Hansen","Veg1","No remarks","C",-9999,"No remarks"
"2019/06/05","Lars Holst Hansen","Art1","No remarks","C",-9999,"No remarks"
"2019/06/05","Lars Holst Hansen","Art1","No remarks","C",-9999,"No remarks"
"2019/06/05","Lars Holst Hansen","Art2","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art2","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art3","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art5","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art6","No remarks","C",60,"No remarks"
"2019/06/05","Lars Holst Hansen","Art7","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas1","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas2","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas3","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas4","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry1","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry2Sal7","No remarks","C",60,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry3","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry4","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry5","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry6Pap4","No remarks","C",15,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri1","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri2","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri3","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri4","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap1","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap2Sal5","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap3","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal1","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal2","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal3","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal4","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal6","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax1Sil1","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax2Sil2","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax3Sil3","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sil4","No remarks","C",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Veg1","No remarks","C",-9999,"No remarks"
"2019/06/06","Lars Holst Hansen","Art1","No remarks","C",-9999,"No remarks"
"2019/06/06","Lars Holst Hansen","Art2","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art3","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art5","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art6","No remarks","C",55,"No remarks"
"2019/06/06","Lars Holst Hansen","Art7","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas1","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas2","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas3","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas4","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry1","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry2Sal7","No remarks","C",50,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry3","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry4","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry5","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry6Pap4","No remarks","C",2,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri1","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri2","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri3","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri4","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap1","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap2Sal5","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap3","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal1","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal2","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal3","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal4","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal6","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax1Sil1","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax2Sil2","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax3Sil3","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sil4","No remarks","C",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Veg1","No remarks","C",-9999,"No remarks"
"2019/06/08","Lars Holst Hansen","Art6","No remarks","C",0,"No remarks"
"2019/06/08","Lars Holst Hansen","Dry2Sal7","No remarks","C",1,"No remarks"
"2019/06/08","Lars Holst Hansen","Dry6Pap4","No remarks","C",0,"No remarks"
"2019/06/09","Jannik Hansen","Art6","No remarks","C",0,"No remarks"
"2019/06/11","Jannik Hansen","Dry2Sal7","No remarks","C",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art1","No remarks","D",-9999,"No remarks"
"2019/05/29","Lars Holst Hansen","Art2","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art3","No remarks","D",2,"No remarks"
"2019/05/29","Lars Holst Hansen","Art5","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art6","No remarks","D",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Art7","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas1","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas2","No remarks","D",98,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas3","No remarks","D",5,"No remarks"
"2019/05/29","Lars Holst Hansen","Cas4","No remarks","D",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry1","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry2Sal7","No remarks","D",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry3","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry4","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry5","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Dry6Pap4","No remarks","D",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri1","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri2","No remarks","D",75,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri3","No remarks","D",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Eri4","No remarks","D",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap1","No remarks","D",95,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap2Sal5","No remarks","D",98,"No remarks"
"2019/05/29","Lars Holst Hansen","Pap3","No remarks","D",90,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal1","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal2","No remarks","D",80,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal3","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal4","No remarks","D",98,"No remarks"
"2019/05/29","Lars Holst Hansen","Sal6","No remarks","D",99,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax1Sil1","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax2Sil2","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sax3Sil3","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Sil4","No remarks","D",100,"No remarks"
"2019/05/29","Lars Holst Hansen","Veg1","No remarks","D",-9999,"No remarks"
"2019/05/31","Lars Holst Hansen","Art1","No remarks","D",-9999,"No remarks"
"2019/05/31","Lars Holst Hansen","Art2","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas1","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas2","No remarks","D",40,"No remarks"
"2019/05/31","Lars Holst Hansen","Cas4","No remarks","D",50,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry1","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry2Sal7","No remarks","D",100,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry4","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Dry5","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Eri1","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Eri3","No remarks","D",99,"No remarks"
"2019/05/31","Lars Holst Hansen","Pap1","No remarks","D",75,"No remarks"
"2019/05/31","Lars Holst Hansen","Pap3","No remarks","D",20,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal1","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal2","No remarks","D",65,"No remarks"
"2019/05/31","Lars Holst Hansen","Sal3","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax1Sil1","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax2Sil2","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Sax3Sil3","No remarks","D",0,"No remarks"
"2019/05/31","Lars Holst Hansen","Veg1","No remarks","D",-9999,"No remarks"
"2019/06/01","Lars Holst Hansen","Art3","No remarks","D",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Art5","No remarks","D",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Art6","No remarks","D",100,"No remarks"
"2019/06/01","Lars Holst Hansen","Art7","No remarks","D",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Cas3","No remarks","D",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Dry3","No remarks","D",0,"No remarks"
"2019/06/01","Lars Holst Hansen","Dry6Pap4","No remarks","D",-9999,"No remarks"
"2019/06/01","Lars Holst Hansen","Eri2","No remarks","D",15,"No remarks"
"2019/06/01","Lars Holst Hansen","Eri4","No remarks","D",100,"No remarks"
"2019/06/01","Lars Holst Hansen","Pap2Sal5","No remarks","D",60,"No remarks"
"2019/06/01","Lars Holst Hansen","Sal4","No remarks","D",75,"No remarks"
"2019/06/01","Lars Holst Hansen","Sal6","No remarks","D",75,"No remarks"
"2019/06/01","Lars Holst Hansen","Sil4","No remarks","D",90,"No remarks"
"2019/06/03","Lars Holst Hansen","Art3","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Art5","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Art6","No remarks","D",100,"No remarks"
"2019/06/03","Lars Holst Hansen","Art7","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas1","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas2","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas3","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Cas4","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry1","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry2Sal7","No remarks","D",100,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry3","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry4","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry5","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Dry6Pap4","No remarks","D",70,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri1","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri2","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri3","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Eri4","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap1","No remarks","D",5,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap2Sal5","No remarks","D",10,"No remarks"
"2019/06/03","Lars Holst Hansen","Pap3","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal1","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal2","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal3","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal4","No remarks","D",5,"No remarks"
"2019/06/03","Lars Holst Hansen","Sal6","No remarks","D",1,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax1Sil1","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax2Sil2","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sax3Sil3","No remarks","D",0,"No remarks"
"2019/06/03","Lars Holst Hansen","Sil4","No remarks","D",5,"No remarks"
"2019/06/03","Lars Holst Hansen","Veg1","No remarks","D",-9999,"No remarks"
"2019/06/05","Lars Holst Hansen","Art1","No remarks","D",-9999,"No remarks"
"2019/06/05","Lars Holst Hansen","Art1","No remarks","D",-9999,"No remarks"
"2019/06/05","Lars Holst Hansen","Art2","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art2","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art3","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art5","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Art6","No remarks","D",90,"No remarks"
"2019/06/05","Lars Holst Hansen","Art7","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas1","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas2","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas3","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Cas4","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry1","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry2Sal7","No remarks","D",95,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry3","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry4","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry5","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Dry6Pap4","No remarks","D",1,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri1","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri2","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri3","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Eri4","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap1","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap2Sal5","No remarks","D",1,"No remarks"
"2019/06/05","Lars Holst Hansen","Pap3","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal1","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal2","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal3","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal4","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sal6","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax1Sil1","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax2Sil2","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sax3Sil3","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Sil4","No remarks","D",0,"No remarks"
"2019/06/05","Lars Holst Hansen","Veg1","No remarks","D",-9999,"No remarks"
"2019/06/06","Lars Holst Hansen","Art1","No remarks","D",-9999,"No remarks"
"2019/06/06","Lars Holst Hansen","Art2","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art3","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art5","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Art6","No remarks","D",75,"No remarks"
"2019/06/06","Lars Holst Hansen","Art7","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas1","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas2","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas3","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Cas4","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry1","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry2Sal7","No remarks","D",85,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry3","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry4","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry5","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Dry6Pap4","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri1","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri2","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri3","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Eri4","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap1","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap2Sal5","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Pap3","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal1","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal2","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal3","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal4","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sal6","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax1Sil1","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax2Sil2","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sax3Sil3","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Sil4","No remarks","D",0,"No remarks"
"2019/06/06","Lars Holst Hansen","Veg1","No remarks","D",-9999,"No remarks"
"2019/06/08","Lars Holst Hansen","Art6","No remarks","D",0,"No remarks"
"2019/06/08","Lars Holst Hansen","Dry2Sal7","No remarks","D",1,"No remarks"
"2019/06/08","Lars Holst Hansen","Dry6Pap4","No remarks","D",0,"No remarks"
"2019/06/09","Jannik Hansen","Art6","No remarks","D",0,"No remarks"
"2019/06/11","Jannik Hansen","Dry2Sal7","No remarks","D",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art1","No remarks","E",-9999,"No remarks"
"2019/05/29","Lars Holst Hansen","Art2","No remarks","E",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art3","No remarks","E",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art5","No remarks","E",0,"No remarks"
"2019/05/29","Lars Holst Hansen","Art6","No remarks","E",100,"No remarks"
